類別,商品編號,商品名稱,單位,銷售數量,實銷金額
小點類,01001,生豆包,份,2722.0,46623.0
小點類,01002,百頁豆腐,份,1596.0,37390.0
小點類,01004,大豆干(黑),份,2530.0,30336.0
小點類,01005,小豆干,份,1635.0,13032.0
小點類,01006,米血,份,1835.0,21960.0
小點類,01007,大豆皮,份,1906.0,47525.0
小點類,01012,龍蝦沙拉,顆,781.0,7740.0
小點類,01013,德式香腸,顆,432.0,12528.0
小點類,01027,角羅,份,473.0,9460.0
小點類,01032,海帶,份,2731.0,31078.0
小點類,01033,鳥蛋,顆,3609.0,17975.0
小點類,01035,滷蛋,顆,1505.0,22530.0
蔬菜類,02001,高麗菜,份,114.0,3420.0
蔬菜類,02002,花椰菜,份,725.0,18025.0
蔬菜類,02003,四季豆,份,352.0,8700.0
蔬菜類,02005,大陸妹,份,41.0,1230.0
蔬菜類,02009,金針菇,份,37.0,1110.0
蔬菜類,02011,白蘿蔔,份,905.0,13500.0
蔬菜類,02013,玉米筍,份,918.0,22800.0
蔬菜類,02018,青江菜,份,26.0,780.0
蔬菜類,02020,水蓮,份,1548.0,38500.0
蔬菜類,02023,娃娃菜,份,770.0,19150.0
蔬菜類,02025,櫛瓜,份,600.0,20755.0
肉類,03002,無骨大雞腿,份,193.0,15168.0
肉類,03003,鴨胗,份,877.0,21825.0
肉類,03004,鴨肝,份,601.0,8970.0
肉類,03005,鴨心,顆,1478.0,14720.0
肉類,03006,生腸,份,307.0,6140.0
肉類,03007,脆腸,份,125.0,3125.0
肉類,03008,氣球,份,96.0,2400.0
肉類,03010,豬脆管,份,379.0,9450.0
肉類,03016,豬皮,份,867.0,17220.0
肉類,03017,豬耳朵,份,1475.0,29340.0
肉類,03018,豬頭皮,份,466.0,9320.0
秤重肉類,04000,秤重肉類(每公克1元),克,181747.0,181038.0
秤重肉類,04001,菊花肉,份,785.0,0.0
秤重肉類,04002,豬肥腸,份,457.0,0.0
秤重肉類,04004,豬腳筋,份,212.0,0.0
秤重肉類,04005,肝連,份,389.0,0.0
秤重肉類,04007,腱子肉,份,541.0,0.0
秤重肉類,04009,月亮軟骨,份,182.0,0.0
麵類,01010,老油條,份,899.0,26970.0
麵類,05003,王子麵,份,2200.0,32925.0
麵類,05005,祖傳麻醬麵,份,1486.0,51870.0
麵類,05006,丹瓦潑辣麵,份,1590.0,63520.0
麵類,05010,椒點香麻麵,份,345.0,18975.0
麵類,05011,油蔥香拌麵,份,1707.0,85100.0
手工類,06001,四川麻辣丸,份,297.0,5940.0
手工類,06002,嚴選鴨肉丸3顆,份,731.0,13086.0
手工類,06003,手工虱目魚捲,份,188.0,7293.0
手工類,06004,香菇功夫丸,份,479.0,7185.0
手工類,06006,手工甜不辣,顆,1771.0,25197.0
茶飲,07001,沁露四季春,杯,267.0,11790.0
茶飲,07002,丹瓦紅茶,杯,404.0,16080.0
茶飲,07003,蕎麥拿鐵,杯,53.0,3570.0
茶飲,07004,青檸冬瓜,杯,131.0,7205.0
茶飲,07005,瓦焙厚奶茶,杯,207.0,11385.0
茶飲,07006,冬瓜拿鐵,杯,56.0,3640.0
茶飲,07007,紅茶拿鐵,杯,193.0,12480.0
茶飲,07008,鐵觀音粉粿奶茶,杯,27.0,2025.0
茶飲,07009,厚焙鐵觀音,杯,53.0,2385.0
茶飲,07010,厚焙鐵觀音奶茶,杯,103.0,6120.0
茶飲,07011,黃金蕎麥,杯,226.0,10035.0
茶飲,07012,柳橙四季春,杯,12.0,900.0
茶飲,07013,黃金蕎麥奶茶,杯,130.0,7740.0
茶飲,07015,鐵觀音拿鐵,杯,61.0,4200.0
茶飲,07016,蜜桃果粒冰茶,杯,55.0,4590.0
茶飲,07018,黃金粉粿喬麥,杯,121.0,7080.0
茶飲,07019,黃金粉粿厚奶茶,杯,32.0,2240.0
茶飲,07020,黃金粉粿蕎麥奶茶,杯,264.0,19800.0
茶飲,07022,冬瓜鐵觀音,杯,112.0,5600.0
茶飲,07024,青檸四季春,杯,268.0,14740.0
茶飲,07025,桂花四季春,杯,138.0,7425.0
茶飲,07026,桂花蕎麥,杯,86.0,4675.0
茶飲,07027,青檸蜜茶,杯,181.0,9845.0
茶飲,07029,雪綿輕熟烏龍,杯,54.0,3975.0
茶飲,07031,輕熟烏龍,杯,49.0,2450.0
茶飲,07033,雪綿厚焙鐵觀音,杯,26.0,1820.0
茶飲,07034,雪綿黃金蕎麥,杯,21.0,1400.0
茶飲,07035,雪綿丹瓦紅茶,杯,61.0,3965.0
茶飲,07036,雪綿四季春,杯,40.0,2660.0
茶飲,07038,波霸紅茶,杯,111.0,5550.0
茶飲,07039,波霸四季春,杯,134.0,7315.0
茶飲,07040,波霸奶茶,杯,709.0,46020.0
茶飲,07041,波霸鐵觀音奶茶,杯,61.0,4270.0
茶飲,07042,波霸烏龍奶茶,杯,104.0,7800.0
茶飲,07043,波霸紅茶拿鐵,杯,105.0,7725.0
茶飲,07044,丹紅草莓歐蕾,杯,530.0,47287.0
茶飲,07045,琥珀草莓布丁,杯,390.0,30656.0
茶飲,07046,烏龍拿鐵,杯,15.0,1050.0
茶飲,07047,波霸烏龍拿鐵,杯,15.0,1190.0
秤重蔬菜,V1001,蔬菜(每公克0.3元),克,778582.0,232958.1
秤重蔬菜,V1002,高麗菜,份,1821.0,0.0
秤重蔬菜,V1003,青江菜,份,431.0,0.0
秤重蔬菜,V1004,大陸妹,份,312.0,0.0
秤重蔬菜,V1005,奶油白菜,份,552.0,0.0
秤重蔬菜,V1006,菠菜,份,378.0,0.0
秤重蔬菜,V1007,A菜,份,22.0,0.0
秤重蔬菜,V1008,小白菜,份,225.0,0.0
秤重蔬菜,V1009,空心菜,份,396.0,0.0
秤重蔬菜,V1010,地瓜葉,份,189.0,0.0
秤重蔬菜,V2001,香菇,份,319.0,0.0
秤重蔬菜,V2002,杏鮑菇,份,245.0,0.0
秤重蔬菜,V2003,袖珍菇,份,311.0,0.0
秤重蔬菜,V2005,金針菇,份,886.0,0.0
秤重蔬菜,V2006,川耳,份,285.0,0.0
功夫菜,09001,黃金炸翅刀(梅醬),份,847.0,81378.0
功夫菜,09002,黃金炸翅刀(瓦製辣醬),份,635.0,61182.0
功夫菜,09003,經典炸脆薯,份,204.0,16830.0
功夫菜,09005,醋溜炸脆肉(川味),份,136.0,13167.0
功夫菜,09007,醋溜炸脆肉(椒鹽),份,594.0,58113.0
功夫菜,09008,黃金炸翅刀,份,6.0,594.0
功夫菜,09011,醋溜炸脆肉,份,1.0,99.0
調味,10002,不要蔥,份,13.0,0.0
調味,10003,不要酸菜,份,20.0,0.0
調味,10005,不要醬,份,2.0,0.0
外帶肉類,11003,鴨胗,份,18.0,450.0
外帶肉類,11004,鴨肝,份,12.0,180.0
外帶肉類,11005,鴨心,顆,32.0,320.0
外帶肉類,11006,豬頭皮,份,36.0,720.0
外帶肉類,11007,豬肥腸,份,16.0,640.0
外帶肉類,11009,豬耳朵,份,37.0,740.0
外帶肉類,11010,豬皮,份,22.0,440.0
外帶肉類,11013,腱子肉,份,54.0,2160.0
外帶肉類,11014,豬脆管,份,12.0,300.0
外帶肉類,11015,菊花肉,份,30.0,1200.0
外帶肉類,11017,脆腸,份,18.0,450.0
外帶肉類,11018,氣球,份,4.0,100.0
外帶肉類,11019,肝連,份,28.0,1120.0
外帶肉類,11020,生腸,份,9.0,180.0
外帶肉類,11021,無骨大雞腿,份,1.0,79.0
套餐,01034,任選三入20元,份,1677.0,33420.0
套餐子項,13001,黃金魚蛋,份,1229.0,0.0
套餐子項,13002,魚餃,份,1138.0,0.0
套餐子項,13006,小蟹腿,份,1850.0,0.0
套餐子項,13008,韓式魚板,份,800.0,0.0
套餐子項,U08002,黃金魚蛋,份,5.0,0.0
套餐子項,U08003,魚餃,份,1.0,0.0
套餐子項,U08006,小蟹腿,份,6.0,0.0
套餐子項,U08008,韓式魚板,份,3.0,0.0
餐費,14001,餐費,份,25.0,25.0
特製餐點,16002,分2桶,份,407.0,0.0
特製餐點,16003,分3桶,份,44.0,0.0
特製餐點,16004,分4桶,份,10.0,0.0
特製餐點,16005,滷味軟,份,1.0,0.0
精選肉類,U01001,菊花肉,份,9.0,450.0
精選肉類,U01002,豬脆管,份,1.0,35.0
精選肉類,U01003,鴨肝,份,5.0,100.0
精選肉類,U01005,豬頭皮,份,6.0,210.0
精選肉類,U01007,豬耳朵,份,9.0,315.0
精選肉類,U01009,脆腸,份,2.0,60.0
精選肉類,U01010,腱子肉,份,8.0,280.0
精選肉類,U01011,肝連,份,8.0,280.0
精選肉類,U01012,肥腸,份,8.0,360.0
精選肉類,U01013,鴨胗,份,5.0,175.0
精選肉類,U01014,鴨心,顆,4.0,60.0
綜合好料,U02001,鳥蛋,份,30.0,240.0
綜合好料,U02003,小豆干(黃）,份,7.0,105.0
綜合好料,U02005,米血,份,12.0,180.0
綜合好料,U02008,海帶,份,14.0,210.0
綜合好料,U02010,龍蝦沙拉,份,1.0,20.0
綜合好料,U02012,大豆干(黑),份,15.0,270.0
綜合好料,U02014,滷蛋,份,11.0,220.0
綜合好料,U02016,百頁豆腐,份,6.0,180.0
家常蔬菜,U03001,川耳,份,3.0,60.0
家常蔬菜,U03002,香菇,份,7.0,175.0
家常蔬菜,U03005,水蓮,份,15.0,450.0
家常蔬菜,U03009,大陸妹,份,7.0,210.0
家常蔬菜,U03010,玉米筍,份,6.0,174.0
家常蔬菜,U03013,青江菜,份,2.0,58.0
家常蔬菜,U03014,高麗菜,份,22.0,660.0
家常蔬菜,U03015,秀珍菇,份,5.0,125.0
家常蔬菜,U03016,金針菇,份,7.0,175.0
家常蔬菜,U03018,四季豆,份,1.0,35.0
家常蔬菜,U03019,杏鮑菇,份,4.0,120.0
家常蔬菜,U03021,娃娃菜,份,5.0,175.0
嚴選手作,U04001,手工甜不辣,份,10.0,200.0
嚴選手作,U04002,四川麻辣丸,份,3.0,60.0
嚴選手作,U04003,鴨肉丸(3顆一份),份,5.0,125.0
嚴選手作,U04006,嚴選虱目魚捲,份,2.0,110.0
圈樓煮麵,U05001,祖傳麻醬麵,份,10.0,550.0
圈樓煮麵,U05002,丹瓦潑辣麵,份,13.0,767.0
圈樓煮麵,U05003,王子麵,份,14.0,280.0
丹瓦調飲,U06002,青檸冬瓜,份,1.0,59.0
丹瓦調飲,U06003,瓦焙紅茶,份,1.0,49.0
丹瓦調飲,U06006,冬瓜拿鐵,份,2.0,150.0
丹瓦調飲,U06007,紅茶拿鐵,份,3.0,225.0
丹瓦調飲,U06008,厚焙鐵觀音,份,1.0,49.0
丹瓦調飲,U06009,厚焙鐵觀音奶茶,份,1.0,75.0
丹瓦調飲,U06010,黃金蕎麥,份,2.0,110.0
好料組合區,U07002,任選三樣39元,份,5.0,195.0
強檔必點,U10001,醋溜炸脆肉(椒鹽),份,7.0,973.0
強檔必點,U10002,醋溜炸脆肉(川味),份,3.0,417.0
強檔必點,U10004,梅醬黃金炸翅刀,份,2.0,300.0
強檔必點,U10005,瓦製辣醬黃金翅刀,份,1.0,150.0
