"評論者名稱","評論時間","評論星級","評論內容","評論圖片","評論者個人資料URL"
"LOVE","15 小時前","4","這家想吃很久了，終於來吃，滷味超多種，有點難選擇，點了推薦的雞翅、麻醬麵、蔥油麵和一些滷味、奶茶，整體都還不錯，最近開分店，有機會可以去試試看訂單類型： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn1Njx2GYuVXoeG4WM0sVX0EhRIntr1r_5RbQGvpu688M5txO8SmH9WRBVRI2Or1Bx9jloo7EJABYufeSrbqXYknU0wiNU8zFvN38zz3CfulPW4WJwkKvQCP4uKULKwwHIGLSFS1tc6Pnyg=s196-p-k-rw","https://www.google.com/maps/contrib/101651489077498038558/reviews?hl=zh-Hant-TW"
"小妖","1 天前","2","上次在仁和路看到一堆人在排隊想說應該是不難吃今天睡飽就來創始店朝聖 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn2t02iQf65QFBdccIyiPnVfkta5_yC0JMUaTXd-xgpdXvOYcRJQdfSj9wf-KH7fNQBu3dbiP-w_115kV7DsEMU0Skx2AzpHkzVPixA2u4Nmjlj__2Od7y-BiakcxwFDmrMGsgHkDxetIW2i=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2L3KcTj5fjk4AMMNHhugw4NKFlelGEGd1WgGhELnuBm3gmgc4C52WLYrBn4e-QsQZ2M6bgtGtPyjUYvTnpJdFgfqBQjPlVtbV9y55O2_VbX5pZSDuMX_Dv7Y4W24OQaNTxn9rSGTE9Abv7=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2nS73zZ34vhqTQ6Nr_OSy84LM2msD-a432kEAp2y_uVvl0shbirhwuAeiWv_D-aT9jHaOAUfB8_P8CUfurgg-B8fG-zxUzqzjbeGb2Lgi5-CYwAFkPzvXJ22MuGraMLCPnJ5dWQvEsFkC6=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3eKopk17BP1IOhX78008RqwUvxzkNrlZsQ_RKtzuuDDZJ_vMTR-A6WmMhvP1-R0s22EnqVOjUogQspPY5zmgvQzoFNip7RjAQj1SIcnMu7ERR6xEqm_5kK1PkEjQrYGlq2uegiVEwZpFo=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn32IzexkRhNxzCvID-QUEkVH0tWB5Ok6M8I0dmSF6O8O7_-8IQbCO0JUfBx2INx219jqlSEBtUm87A_JKxBrtCZz6-pH1KA7m_nIit1tiOcFtVnvz-_Gwxd768dVS-Auc4p1bOfX_LfKT7V=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn02rFZT5-3YYdrypRJttPifS_boRhlGY7hDOiq29qTQ54Wp8GcoBllkCyzIhvM2dLSJjpizxAczG6KudAJDsXdriiLO8TQZQp-kK63MDj16KPLG-RcXTMChoJjdxSGWVN6alLxAtT7pldQx=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2fuDyf1RkLMa7ktnVxS51-hCSFsR0XCoQ6d8C65J8X8f0qVIFwyCu85F2oMgG__1cC8oe5ZWPEkyHhfZsUaULBh3l8vtWm5ZNcGsefYB_UKCZh4AgdZA-onh-dQvH0jF0BzWbWqoKBTPvp=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3oWuhQlKbuDwDOg82swnZaSu1VM41l5jy_5x6q4sns6su12351QIFoefAtXPN3bUNufwSQC3YYERufdWyfuX7pAEam5HATAhbP5YplU7O2u2Hkr5B0AqRDGJbPONGOdlmhh6B_f3q4z_o=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1-doy1q6xKQPe5Sz71NSHdneG-rxlQraILOfaroyvRXNz0tfsPRbW0rFINWBOyLMB9iHED4sWcD_0ECmsWOG0Fc2t_gk2qp1aVjaS0zxvy29rV8uXm4ihxeN258kUkHL3A8l1FpRwwsF0f=s196-p-k-rw","https://www.google.com/maps/contrib/108004429824152196143/reviews?hl=zh-Hant-TW"
"Mars","4 天前","5","便宜好吃炸翅刀很讚辣口味的麵也有一定辣度 ⋯⋯","","https://www.google.com/maps/contrib/100707582822668761287/reviews?hl=zh-Hant-TW"
"呂紫綸","6 天前","1","標準網紅店，被網紅影片吹上天。夾菜動線亂、狹窄。夾菜的夾子僅用水過幾次就重新拿出來，更不要說盛滷味的塑膠盆了，水洗都沒有，用一個不知道一天洗幾次的布擦一擦就拿出來了。然後除了結帳的店員，所有內場都沒有戴口罩😍 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn0IYZLBUVKJQYghiphNCwNolgRDSCkNI0VOhLC5VJBeEoJs9nGjHPgDG1o3ZAIOCH72nEYXkS6rUpC-eOkgO0XGicNebaFeLuRGm6wKeFkxkRzkjS47a0oWil3mk3R2PN0V8BkfpqdBiGkN=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3UfPcuIwo4QET0bDRIP8FTI13gR97fsA95heiMJE0zNE6El0TnlNdhAgiM4fDEt3l20O_Z5k22UmtqVRb83DkI6s0MegcXhlLTHEch6Fe99JpmLQ8PzWujbejwxvjOtSPe6bopHzAG4nw=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0hMI833GmPDWHu25Bk9gtPmmbqVXkZLzFPBEjF6L8aRygC4FDUDZldBNGYI3PbJa8zTGyupxrqJZbkwe5BPLL-ezMdoIY40IOmTH1eJzQxGTd7IzSabdpeezCO_xTKABfms3h8z8JSE-_E=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3MDPOBgAh2gYVsbh9Yha4Z-_3FJRz3BocUa0O43T74Wet6Myho4_tEQFh9T7KK_cAHIylUblDHmH6Bk9rt8myGSusJMQPtQ4fmWB986Mi6txa3azFfXgNdV9X3gTmuEfNC7fgIOdnOcwis=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0JHDAfR_KD2KoJJ5fry_QUSTo4HAESG61Js-53HVMtA_gVkQ4oSafQUapaQxdAIWxPVnhLCfw0ei3_7yzSH2Fk-AI4QxC7bWgtRCm5as6NZXziZ8tM4NPJ4vEuXRMexyoyHL7-l2O240Pb=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2UnctemoTeB4b-icCYJikfJ_u5btVptEPIagrG09I3sjHhPDUUjrn5xkWqGQxOKr1aYVlFfQINb7HGXjnOmkpWLo2YuhzE3jXR4zUwCSxm7EHANuLr_KftJOSivbMLITSQgd57oS2Ms-k=s196-p-k-rw","https://www.google.com/maps/contrib/113970811218552651336/reviews?hl=zh-Hant-TW"
"Leia Chen","上次編輯：1 週前","5","1.餐點大致上都好吃，但是如果炸物跟麵體可以是熱的就更好，滷味是熱的很棒，感覺是因為等滷味一起上餐所以其他東西才會冷掉。2.上菜速度偏慢，感覺用餐時間只有70分鐘，等上菜時間就差不多30分鐘，吃了30分鐘服務員就說用餐時間只剩5-10分鐘。3.油蔥麵很好吃（雖然冷掉了，但味道還是很棒）、炸翅刀的佐醬也很好吃、滷味的醬汁很讚（菜也煮得剛剛好） ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn37Ne9G5D3UtT-PSzFmAYY_Ggp7yvyy6tys3S1iQni3QvISckaktUoE1LriNwuABnfOA7gIj8lp28YLaxHYlQrr7IMz9u0B8G-qY-YUfEVXZMOiyGOzg2qNFE0RCpffONnDS8A03xy44ahk=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3ubk1-B-wKcWXvjBrc1X3RPC90RoheMoiXjdwMuIMONsUypzYbZjfjwa-wSQo3j2WjsVmkAM-EqguVQCVaTn50LH8d4u-NC8ONjTOnyDSgTiqBT9WiJXHCylnBO-8_O9cXa6jlye2ljDyE=s196-p-k-rw","https://www.google.com/maps/contrib/111122873958081950559/reviews?hl=zh-Hant-TW"
"艸部祭","1 週前","5","被滷味耽誤的飲料店，炸物跟麵也很好吃✨訂單類型： ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3FPlTz5zQhq7OlZxcHGAuo3A7ms9owN36zamWCOBeey_KyjAQK5bQZM392jI-XA6KxXyFYAckxqpWAEFkOouKgLez9n3LERJJ21fRp9CBVKAWu7p1SFyj63QC0tkJUQXXkLh7kimkUPNnH=s196-p-k-rw","https://www.google.com/maps/contrib/106407029280833717135/reviews?hl=zh-Hant-TW"
"Ben Chen","1 週前","5","主要是賣滷味像鴨肝一顆15鴨胗一顆25 ⋯⋯","","https://www.google.com/maps/contrib/101212119670921385869/reviews?hl=zh-Hant-TW"
"李宜靜","2 週前","4","等待時間超長（大約1小時梅醬翅刀好吃 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn3Ro1fvwQ2dv8-bhnSUEbo34jskIqDWvTBa5ncPdcCTcL9t7NXpUR_AFn_6ZWJBvZ1Jz2Ua2oijYMe8PTVYHQEmk6YqCKob4pbSYchtYKVgj8MGaXzM7B_dbTmfYTM4dcTFhGO71SgXJh4j=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3ZXghdRkrDQ9PyflYmUT-ErBZOwLhF87LywMNvT7KClpupVJl6VBDsqnd3sZI3EcF_ClXJ3j9NzvKQG0u_XpcR2Ck7gAlw92RwcAHtjYA39xhc7Mskjki9jqv_1DB2LWUi9j9r7PYH0yo=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2aTMTa28ArnayJ2v7upbQuJJdh2KlWhnh9FxcLdvip7ejFjxSUdnlR-0SIldxGqpMsRALDZMvw5-UFrATiiST2uUAyt8d380RIi-KR6DJZzu1uNURmMhjt0yDfNz7baEWmpgDcePm5s_E=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn1pPbVMLqkYbjRehB9Us0g48Gvahsmi6xZt02MFC5W7_gY4nPuYeoRpFlYftda3pG7-Ea4avHu2A3fm4OrMrePrWqfraRgyaYJQMbJazGouPz_BElrqo49o5IZC9htjskdUpMeuMwWVlUE=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0c5kfymKWTbEIe19TMNCmVlPgQKZKcG-TkffuLeHIOMVx2tCm1RcUaM9zfUlMJUTtID3zUvgf56RFoyNtXYLwEWJ-109C7w0ZG_KEDSDz54rhQXmBlaGCdJX91gVJa4IFJrFRD-pW02yU=s196-p-k-rw","https://www.google.com/maps/contrib/100508979891488526869/reviews?hl=zh-Hant-TW"
"王爫_盡量評論有菜單","3 週前","4","非常多人排的滷味店,內用需要排隊，外帶可以直接進去全種類的蔬菜都是秤重，所以都是一樣的價格其他肉類或是火鍋料之類的，價格稍高一點 ⋯⋯","https://lh3.googleusercontent.com/grass-cs/ANxoTn2tid-PPAiLyLrrYHcfe52Amc5EPCMK8QASLNnT11P2DWiL1EEyvEdB9HJtpifQB0A8aDAhZYrwTVzceuYF6-AaYiLlp91EjOU0YqgejR5xDTmQOxvKlWiwT45dyaGMVFui6ckBEVSz0cWJ=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0CWXQ91buJHwqEchsYrESkOoJ0X7RnpErfZfVYq9HRgggrsZ7I_kmnY07P9X9XiZ9eD5HDdYjlJb2oflmO5uVo3Rm5EBNMLEEEruIxdh_67JxE6Jdc8mu_En2Xpuw0hBPZPcBrQDrhTNnr=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2XTcbumFQuDzTTMhtsxtu-ElbHRSNC3uIK3jikZyap1_T2y3LRoDRzyqZ6dHppljdq8z-mYVPXeymAQrdfl5gXd_0jPLjSb6qfyfJbEnjQOz0VaOyCrPEpPtnEQM4iPG0hRoSULMJDfAY=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2M7Fi_tnXTfkEmmPnnKDPLLHvKZdnAdFnBP82EO1g5eDxsAoIRUM7kHmW9eY02cgS4ODL_hjb8uzPEAhmF8UpHlQLNVu7VNXzSjoGVNTMc2rLAdvZgERmE9tJr1eclxx4shTdnCsnjCe6O=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn0iKWE0kqaUP44qn6d7Ju7WL6e-9A4cjpA-zPsentdRmvFzB6RTdwX8ZCtISrHNFzdTTdzQl8F7ULDGm-ASKs1kLvChoYRpe2twEp2A9SIXRUULL1yDrThVP-H4RLJwUri1xGItNgpBElH5=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn02i8D4OjryCCAwS_gP2mWuPOYyGg_heFEk4RkgX1EPdzpGld7wt2un9xsouph7qUM66YVqGuX74X24UqFdmNoqvSkX0LKLst0rLVEe31jxbkxo_KyqbdJWMnTSCnczIV_mOG0IdOLWRjNt=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2zRyTZhNXXL4PCk_fV8UudTDJSPuY7U0b9ugeiRCSv3mEu_aa63BEdAudIa7EEGBQF4lxY3SC8zeM33kgKxmIZ0xZTq4TJAEzY-3hCsXNNOiL69QQZFWNBiJa4Kx3SjBCAZGHI1JMT7RK_=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn2fOs-4f0WR_QjRjM4FnYz7wZMF1fOypHKo7PH2ZHZNp54s2Mdtllqy9pkyEi2jzV7v_szA_LdwDdeNWB1WPcbZ4ZunVuVUcUCojDS9gety6n6o13gdcXp7QC5L0NIEm28vZRIcOhrKqQI=s196-p-k-rw
https://lh3.googleusercontent.com/grass-cs/ANxoTn3vWNdJelfUH4JpPKd7lT3v75eanuojmr7a-ZVxw4wLt4caHsO-JHH5_lS2TdPtkbrDbedO-Co0gz0pcIUndNXWNrvEWA7pMFJd80qlbmwTMQoOXa3l7SqcZnDCH71lzv7k-lfZH6Il5n9j=s196-p-k-rw","https://www.google.com/maps/contrib/114211160925783902181/reviews?hl=zh-Hant-TW"
"陳品妤","3 週前","1","誠心建議夾子回收籃可以設置在結帳前的位置，本人可能太無知不知道夾子在結帳前要先放回身後櫃子上的回收籃並在店員提醒第一次的時候錯認為是在告知前一位客人且沒有意識到在跟我講話，導致店員第二次的大聲提醒，但真的可以不用這麼大聲啦嚇到我也嚇到其他客人了哈哈😍一顆星給食物蒜味很喜！","","https://www.google.com/maps/contrib/103022926811718071693/reviews?hl=zh-Hant-TW"
